,default_proteins,max_proteins,default_sites,max_sites,site_increase,relative_increase
S,23672.0,24367.0,186060.0,256249.0,70189.0,0.37723852520692247
T,17562.0,19750.0,72524.0,108304.0,35780.0,0.49335392421818985
Y,11014.0,14266.0,25346.0,43425.0,18079.0,0.7132880927957074
ST,25458.0,25733.0,258584.0,360776.0,102192.0,0.3951984654889707
STY,26369.0,26407.0,283930.0,400792.0,116862.0,0.4115873630824499
