,fold_0_train_size,fold_0_test_size,fold_0_total_size,fold_1_train_size,fold_1_test_size,fold_1_total_size,fold_2_train_size,fold_2_test_size,fold_2_total_size,fold_3_train_size,fold_3_test_size,fold_3_total_size,fold_4_train_size,fold_4_test_size,fold_4_total_size
S,7073,1769,8842,7073,1769,8842,7074,1768,8842,7074,1768,8842,7074,1768,8842
T,5001,1251,6252,5001,1251,6252,5002,1250,6252,5002,1250,6252,5002,1250,6252
Y,3049,763,3812,3049,763,3812,3050,762,3812,3050,762,3812,3050,762,3812
ST,7702,1926,9628,7702,1926,9628,7702,1926,9628,7703,1925,9628,7703,1925,9628
STY,8058,2015,10073,8058,2015,10073,8058,2015,10073,8059,2014,10073,8059,2014,10073
