,default_proteins,max_proteins,default_sites,max_sites,site_increase,relative_increase
S,34025.0,34678.0,278880.0,338059.0,59179.0,0.21220238095238095
T,25438.0,27452.0,110045.0,141585.0,31540.0,0.2866100231723386
Y,16074.0,19088.0,38641.0,55713.0,17072.0,0.44181051215030664
ST,36472.0,36733.0,388925.0,476893.0,87968.0,0.22618242591759335
STY,37618.0,37642.0,427566.0,530279.0,102713.0,0.24022723977116983
