,fold_0_train_size,fold_0_dev_size,fold_0_test_size,fold_0_total_size,fold_1_train_size,fold_1_dev_size,fold_1_test_size,fold_1_total_size,fold_2_train_size,fold_2_dev_size,fold_2_test_size,fold_2_total_size,fold_3_train_size,fold_3_dev_size,fold_3_test_size,fold_3_total_size,fold_4_train_size,fold_4_dev_size,fold_4_test_size,fold_4_total_size
S,25655,6465,8081,40201,25670,6457,8074,40201,25810,6378,8013,40201,25777,6416,8008,40201,25757,6419,8025,40201
T,20575,5154,6417,32146,20596,5121,6429,32146,20537,5184,6425,32146,20583,5135,6428,32146,20482,5217,6447,32146
Y,14332,3578,4458,22368,14350,3523,4495,22368,14230,3676,4462,22368,14287,3584,4497,22368,14330,3582,4456,22368
ST,27240,6677,8471,42388,27089,6857,8442,42388,27098,6778,8512,42388,27099,6773,8516,42388,27148,6793,8447,42388
STY,27745,6911,8683,43339,27733,6974,8632,43339,27753,6924,8662,43339,27766,6898,8675,43339,27725,6927,8687,43339
