,fold_0_train_size,fold_0_dev_size,fold_0_test_size,fold_0_total_size,fold_1_train_size,fold_1_dev_size,fold_1_test_size,fold_1_total_size,fold_2_train_size,fold_2_dev_size,fold_2_test_size,fold_2_total_size,fold_3_train_size,fold_3_dev_size,fold_3_test_size,fold_3_total_size,fold_4_train_size,fold_4_dev_size,fold_4_test_size,fold_4_total_size
S,25166,6312,7817,39295,25098,6255,7942,39295,25171,6299,7825,39295,25182,6246,7867,39295,25143,6308,7844,39295
T,19067,4761,5906,29734,18999,4723,6012,29734,19053,4727,5954,29734,19016,4776,5942,29734,19057,4757,5920,29734
Y,11968,3042,3725,18735,12036,2972,3727,18735,12026,2961,3748,18735,11967,2975,3793,18735,12044,2949,3742,18735
ST,26795,6667,8445,41907,26873,6705,8329,41907,26751,6763,8393,41907,26887,6663,8357,41907,26827,6697,8383,41907
STY,27641,6832,8629,43102,27604,6905,8593,43102,27578,6879,8645,43102,27567,6925,8610,43102,27566,6911,8625,43102
