,fold_0_train_size,fold_0_dev_size,fold_0_test_size,fold_0_total_size,fold_1_train_size,fold_1_dev_size,fold_1_test_size,fold_1_total_size,fold_2_train_size,fold_2_dev_size,fold_2_test_size,fold_2_total_size,fold_3_train_size,fold_3_dev_size,fold_3_test_size,fold_3_total_size,fold_4_train_size,fold_4_dev_size,fold_4_test_size,fold_4_total_size
S,18197,4534,5696,28427,18202,4574,5651,28427,18229,4503,5695,28427,18282,4445,5700,28427,18203,4539,5685,28427
T,14824,3815,4614,23253,14862,3730,4661,23253,14794,3739,4720,23253,14878,3747,4628,23253,14904,3719,4630,23253
Y,10760,2669,3330,16759,10698,2700,3361,16759,10698,2708,3353,16759,10732,2636,3391,16759,10744,2691,3324,16759
ST,19082,4787,6012,29881,19121,4792,5968,29881,19150,4762,5969,29881,19150,4781,5950,29881,19071,4828,5982,29881
STY,19567,4877,6138,30582,19561,4906,6115,30582,19585,4893,6104,30582,19516,4914,6152,30582,19627,4882,6073,30582
