,default_proteins,max_proteins,default_sites,max_sites,site_increase,relative_increase
S,9610.0,10079.0,66399.0,108861.0,42462.0,0.6394975827949216
T,6890.0,8360.0,25914.0,47255.0,21341.0,0.8235316817164468
Y,4247.0,6245.0,8772.0,18701.0,9929.0,1.1318969448244414
ST,10410.0,10611.0,92313.0,153432.0,61119.0,0.6620844301452666
STY,10864.0,10892.0,101085.0,169694.0,68609.0,0.6787258248009101
