,fold_0_train_size,fold_0_dev_size,fold_0_test_size,fold_0_total_size,fold_1_train_size,fold_1_dev_size,fold_1_test_size,fold_1_total_size,fold_2_train_size,fold_2_dev_size,fold_2_test_size,fold_2_total_size,fold_3_train_size,fold_3_dev_size,fold_3_test_size,fold_3_total_size,fold_4_train_size,fold_4_dev_size,fold_4_test_size,fold_4_total_size
S,6777,1676,2121,10574,6785,1688,2101,10574,6782,1679,2113,10574,6790,1672,2112,10574,6759,1688,2127,10574
T,4891,1240,1537,7668,4891,1231,1546,7668,4920,1219,1529,7668,4923,1222,1523,7668,4916,1219,1533,7668
Y,3011,749,943,4703,2965,789,949,4703,3020,748,935,4703,3009,755,939,4703,3025,741,937,4703
ST,7300,1821,2284,11405,7300,1824,2281,11405,7289,1836,2280,11405,7284,1844,2277,11405,7289,1833,2283,11405
STY,7606,1900,2359,11865,7585,1903,2377,11865,7595,1872,2398,11865,7565,1931,2369,11865,7595,1908,2362,11865
