,fold_0_train_size,fold_0_dev_size,fold_0_test_size,fold_0_total_size,fold_1_train_size,fold_1_dev_size,fold_1_test_size,fold_1_total_size,fold_2_train_size,fold_2_dev_size,fold_2_test_size,fold_2_total_size,fold_3_train_size,fold_3_dev_size,fold_3_test_size,fold_3_total_size,fold_4_train_size,fold_4_dev_size,fold_4_test_size,fold_4_total_size
S,17435,4343,5439,27217,17403,4369,5445,27217,17438,4342,5437,27217,17379,4390,5448,27217,17401,4368,5448,27217
T,13045,3306,4093,20444,13071,3314,4059,20444,13092,3290,4062,20444,13050,3259,4135,20444,13061,3288,4095,20444
Y,8164,2061,2527,12752,8126,2019,2607,12752,8187,2035,2530,12752,8153,2057,2542,12752,8148,2058,2546,12752
ST,18648,4624,5846,29118,18663,4638,5817,29118,18664,4628,5826,29118,18666,4626,5826,29118,18673,4642,5803,29118
STY,19188,4822,6056,30066,19217,4838,6011,30066,19258,4782,6026,30066,19272,4794,6000,30066,19310,4783,5973,30066
