kinase_top1_id,kinase_top5_id,kinase_top10_id
Q99986,Q99986,Q99986
Q96QP1,Q96QP1,Q9UEW8
P36507,O14976,Q99683
P33981,Q9NSY1,P36507
Q96KB5,P36507,O43318
O14976,Q9UEW8,Q96PY6
Q86Y07,Q99683,Q96QP1
O43318,Q2M2I8,O14976
Q99683,Q86Y07,Q86Y07
Q9UEW8,O43318,Q9NSY1
Q96RR4,Q96PY6,Q2M2I8
Q15831,P33981,P33981
P15056,Q96RR4,Q5S007
Q2M2I8,Q96KB5,Q96RR4
Q9NSY1,Q8N5S9,Q8N5S9
Q8N5S9,Q15831,P15056
O95382,Q5S007,Q15831
Q96PY6,P15056,O95382
Q02750,O95382,Q96KB5
Q5S007,Q02750,Q6ZN16
