kinase_group_top1,kinase_group_top5,kinase_group_top5
Other,Other,Other
CMGC,CMGC,CMGC
CAMK,CAMK,CAMK
TKL,TKL,TKL
CK1,AGC,AGC
AGC,CK1,CK1
STE,STE,STE
PIKK,PIKK,PIKK
PDHK,PDHK,PDHK
Alpha,Alpha,Alpha
FAM20,FAM20,FAM20
,,
,,
,,
,,
,,
,,
,,
,,
,,
