kinase_group_top1,kinase_group_top5,kinase_group_top5
Other,Other,Other
STE,STE,STE
TKL,TKL,TKL
CMGC,CMGC,CMGC
CK1,CK1,CK1
Alpha,CAMK,CAMK
CAMK,Alpha,Alpha
AGC,AGC,AGC
PIKK,PIKK,PIKK
PDHK,FAM20,FAM20
FAM20,PDHK,PDHK
,,
,,
,,
,,
,,
,,
,,
,,
,,
