,fold_0_train_size,fold_0_test_size,fold_1_train_size,fold_1_test_size,fold_2_train_size,fold_2_test_size,fold_3_train_size,fold_3_test_size,fold_4_train_size,fold_4_test_size
S,6130,1533,6130,1533,6130,1533,6131,1532,6131,1532
T,4110,1028,4110,1028,4110,1028,4111,1027,4111,1027
Y,3177,795,3177,795,3178,794,3178,794,3178,794
ST,6693,1674,6693,1674,6694,1673,6694,1673,6694,1673
STY,7058,1765,7058,1765,7058,1765,7059,1764,7059,1764
