kinase_top1_id,kinase_top5_id,kinase_top10_id
O00311,Q5TCY1,Q5TCY1
Q5TCY1,Q96Q15,Q96Q15
Q8IXL6,O00311,P51617
Q96Q15,P51617,O00311
Q9BXM7,Q8IXL6,Q16654
P51617,Q16654,O75385
Q9BX84,Q96S44,Q15118
Q16654,Q15118,O75460
Q8TAS1,Q9BX84,Q8IXL6
Q96S44,O75385,Q96S44
P57058,P00540,Q76MJ5
Q13164,Q9Y572,Q9Y572
P00540,P68400,Q9BX84
Q15118,Q9BXM7,P19784
Q96GX5,Q76MJ5,Q8IYT8
O75385,O75460,P68400
Q13555,P19784,O15111
Q9Y572,P48730,Q6IQ55
P48730,P49674,Q14164
O43683,Q13555,Q13555
