,fold_0_train_size,fold_0_dev_size,fold_0_test_size,fold_0_total_size,fold_1_train_size,fold_1_dev_size,fold_1_test_size,fold_1_total_size,fold_2_train_size,fold_2_dev_size,fold_2_test_size,fold_2_total_size,fold_3_train_size,fold_3_dev_size,fold_3_test_size,fold_3_total_size,fold_4_train_size,fold_4_dev_size,fold_4_test_size,fold_4_total_size
S,3942,997,1233,6172,3916,1039,1217,6172,3960,979,1233,6172,3881,1023,1268,6172,3973,978,1221,6172
T,3466,854,1078,5398,3448,877,1073,5398,3467,850,1081,5398,3485,857,1056,5398,3440,848,1110,5398
Y,2976,753,985,4714,3058,739,917,4714,3041,734,939,4714,3009,772,933,4714,3014,760,940,4714
ST,4106,1019,1281,6406,4076,1052,1278,6406,4083,1010,1313,6406,4119,1017,1270,6406,4115,1027,1264,6406
STY,4178,1059,1272,6509,4131,1023,1355,6509,4130,1083,1296,6509,4182,1040,1287,6509,4179,1031,1299,6509
