,fold_0_train_size,fold_0_dev_size,fold_0_test_size,fold_0_total_size,fold_1_train_size,fold_1_dev_size,fold_1_test_size,fold_1_total_size,fold_2_train_size,fold_2_dev_size,fold_2_test_size,fold_2_total_size,fold_3_train_size,fold_3_dev_size,fold_3_test_size,fold_3_total_size,fold_4_train_size,fold_4_dev_size,fold_4_test_size,fold_4_total_size
S,3398,852,1074,5324,3375,875,1074,5324,3412,857,1055,5324,3401,855,1068,5324,3414,857,1053,5324
T,2128,529,666,3323,2116,544,663,3323,2139,524,660,3323,2122,522,679,3323,2132,536,655,3323
Y,1606,400,503,2509,1606,404,499,2509,1592,411,506,2509,1604,405,500,2509,1606,402,501,2509
ST,3751,925,1173,5849,3746,940,1163,5849,3754,914,1181,5849,3738,943,1168,5849,3727,958,1164,5849
STY,3937,994,1236,6167,3947,988,1232,6167,3946,1003,1218,6167,3924,1004,1239,6167,3931,994,1242,6167
